id,cost,talktime,validity,short description,long description
17635,25,25,3 days,Recharge of Rs. 25 by Vodafone,2 Local Vodafone night minutes -- Rs.25 in Dedicated Account
17636,65,65,6 days,Recharge of Rs. 65 by Vodafone,2 Local Vodafone night minutes -- Rs.65 in Dedicated Account
17637,225,225,N.A,Recharge of Rs. 225 by Vodafone,5 local V2V night min for 1 day
17642,501,501,N.A,Recharge of Rs. 501 by Vodafone,Full Talktime 0 validity + 10 Vodafone night mins
17644,786,786,N.A,Recharge of Rs. 786 by Vodafone,2 Vodafone SMS Free
17647,1001,1001,N.A,Recharge of Rs. 1001 by Vodafone,Full Talktime 0 validity + 10 Vodafone night mins
17655,60,51,N.A,Recharge of Rs. 60 by Vodafone,Get talktime between Rs.51 and Rs.100
17660,105,85.98,N.A,Recharge of Rs. 105 by Vodafone,5 night V2V min for 1 night
17664,715,618.74,28 days,Recharge of Rs. 715 by Vodafone,2 Night V2V Minute for 1 day
17665,24,6,28 days,Recharge of Rs. 24 by Vodafone,"Local + STD Vodafone calls @15p/min, first 120 seconds of the day @2p/sec"
17666,34,5,28 days,Recharge of Rs. 34 by Vodafone,STD mobile calls @ 25p/min
17667,106,25,28 days,Recharge of Rs. 106 by Vodafone,"250 MB data  -- Special features included: call 1 local Vodafone buddy @10p/min, option of 60MB data loan -- T&C Apply"
17668,178,30,28 days,Recharge of Rs. 178 by Vodafone,500 MB data -- Special features included: call 1 local Vodafone buddy @10p/min -- option of 60MB data loan -- T&C Apply
17669,298,50,28 days,Recharge of Rs. 298 by Vodafone,"1536 MB data -- Special features included: call 1 local Vodafone buddy @10p/min, option of 60MB data loan -- T&C Apply"
17683,148,,28 days,Recharge of Rs. 148 by Vodafone,"Unlimited L+S V2V mobile calls, other calls @1p/sec -- 2GB data for (4G handset+4G SIM) or 300 MB Data for 4G Handsets or 50 MB data for non-4G handsets"
17692,346,,28 days,Recharge of Rs. 346 by Vodafone,Unlimited Local + STD Calling -- Daily capping of 300 Minutes per day -- Additional 50 MB Data
17771,399,,30 days,Recharge of Rs. 399 by Vodafone,Unlimited Blackberry services
